time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443349642	0	0	0	0	0	lidar	7.63938e-313	0	0	0	0	0	0
1477010443349642	0.0284688	-0.0459473	0.0323408	-0.0502338	-0.0349333	radar	0.862686	0	0	0	0	0	0
1477010444349642	1.53741	-0.119066	2.97724	-0.088984	-0.0369112	lidar	1.54931	1.55945	-0.138501	2.09897	0.0522228	2.19595	0.109339
1477010444349642	1.51159	-0.00796986	2.7809	0.0854529	0.0294517	radar	6.20805	1.81209	0.0474826	2.09897	0.0522228	2.19595	0.109339
1477010445349642	3.89031	-0.129706	2.81347	-0.110288	-0.11436	lidar	0.0722279	3.89093	-0.134166	4.29136	0.215312	2.28434	0.226323
1477010445349642	3.94907	0.0736094	2.55965	0.0088209	-0.0450111	radar	4.0513	4.19528	0.218461	4.29136	0.215312	2.28434	0.226323
1477010446349642	6.85418	0.410448	3.78459	0.236099	0.133414	lidar	0.424106	6.86352	0.416817	6.56942	0.496096	2.36382	0.348847
1477010446349642	6.74758	0.440934	2.80924	0.323699	0.244168	radar	2.44732	6.43926	0.472879	6.56942	0.496096	2.36382	0.348847
1477010447349642	9.07473	0.603432	2.58546	0.0295404	-0.102751	lidar	0.448291	9.07733	0.593211	8.92437	0.89924	2.43359	0.474526
1477010447349642	9.04216	0.671269	2.6424	0.0791129	-0.0696196	radar	1.14914	8.89749	0.886982	8.92437	0.89924	2.43359	0.474526
1477010448349642	11.5719	1.65511	3.24078	0.570568	0.288771	lidar	0.522087	11.5756	1.6669	11.3468	1.427	2.49328	0.600781
1477010448349642	11.5396	1.62214	2.9462	0.582235	0.327267	radar	0.586179	11.4447	1.42958	11.3468	1.427	2.49328	0.600781
1477010449349642	13.5898	2.32313	2.12158	0.344896	-0.0329972	lidar	0.586976	13.5921	2.31191	13.827	2.07905	2.5429	0.724947
1477010449349642	13.6272	2.30669	2.55662	0.301736	-0.0905028	radar	1.17778	13.6572	1.99915	13.827	2.07905	2.5429	0.724947
1477010450349642	16.6323	2.90449	4.14405	0.01765	-0.212766	lidar	0.58022	16.6456	2.903	16.3554	2.85243	2.58284	0.844365
1477010450349642	16.5383	2.8794	3.15166	-0.0408363	-0.308362	radar	2.11149	16.282	2.84648	16.3554	2.85243	2.58284	0.844365
1477010451349642	19.0121	3.69392	2.73125	0.34997	0.133488	lidar	0.728075	19.0106	3.70555	18.923	3.74161	2.61382	0.95648
1477010451349642	19.08	3.71612	2.69004	0.38435	0.162845	radar	1.33095	19.363	3.87122	18.923	3.74161	2.61382	0.95648
1477010452349642	21.328	4.73254	3.04745	0.464551	0.109616	lidar	0.036536	21.3312	4.73205	21.5215	4.73855	2.63679	1.05891
1477010452349642	21.3818	4.74231	3.05692	0.457004	0.111152	radar	0.758374	21.6213	4.74762	21.5215	4.73855	2.63679	1.05891
1477010453349642	24.0722	5.57315	3.52465	0.207973	-0.116014	lidar	0.23946	24.0787	5.56967	24.1437	5.83295	2.65286	1.14953
1477010453349642	24.1625	5.59784	3.33495	0.176828	-0.141078	radar	3.08032	24.5601	5.92334	24.1437	5.83295	2.65286	1.14953
1477010454349642	26.6086	6.95234	3.093	0.601809	0.218369	lidar	0.455834	26.6052	6.96102	26.7833	7.01246	2.6632	1.22647
1477010454349642	26.5969	6.94644	3.25933	0.584214	0.194727	radar	0.0799399	26.5419	6.90075	26.7833	7.01246	2.6632	1.22647
1477010455349642	29.5764	8.09183	3.89213	0.25712	-0.142796	lidar	0.538769	29.5864	8.08789	29.4352	8.26299	2.66893	1.28822
1477010455349642	29.541	8.07359	3.32166	0.233358	-0.166737	radar	0.694962	29.4716	8.24519	29.4352	8.26299	2.66893	1.28822
1477010456349642	31.9454	9.8686	3.18386	0.802692	0.303075	lidar	0.765769	31.9416	9.88017	32.0955	9.56901	2.67105	1.33358
1477010456349642	31.9017	9.84608	3.25304	0.779514	0.273834	radar	0.682655	31.7928	9.49891	32.0955	9.56901	2.67105	1.33358
1477010457349642	34.6059	10.7107	2.60778	0.190193	-0.28601	lidar	1.27833	34.6157	10.6988	34.7608	10.9139	2.67035	1.3617
1477010457349642	34.7136	10.7611	3.06831	0.182212	-0.270307	radar	2.62355	35.0599	10.9953	34.7608	10.9139	2.67035	1.3617
1477010458349642	37.1419	12.0767	3.07804	0.587946	0.158576	lidar	0.643074	37.1404	12.0883	37.4287	12.2803	2.66736	1.37209
1477010458349642	37.2192	12.1027	3.2677	0.588807	0.154765	radar	1.47274	37.4973	12.2943	37.4287	12.2803	2.66736	1.37209
1477010459349642	40.3173	13.4684	4.25839	0.298111	-0.134271	lidar	0.532764	40.3285	13.4666	40.0971	13.6505	2.66232	1.36459
1477010459349642	40.2258	13.4289	3.31164	0.250332	-0.181133	radar	2.17381	39.9009	13.6243	40.0971	13.6505	2.66232	1.36459
1477010460349642	42.7686	14.8212	3.28936	0.573267	0.142502	lidar	0.362619	42.7664	14.8294	42.7638	15.0065	2.65515	1.33938
1477010460349642	42.744	14.8148	3.32584	0.566949	0.134654	radar	0.187931	42.5714	14.9817	42.7638	15.0065	2.65515	1.33938
1477010461349642	45.3522	16.5515	3.91952	0.589568	0.0619984	lidar	0.093704	45.3572	16.5524	45.4265	16.3307	2.64546	1.29701
1477010461349642	45.3831	16.5619	3.4789	0.611395	0.135076	radar	1.07227	45.649	16.5213	45.4265	16.3307	2.64546	1.29701
1477010462349642	48.1504	17.2914	3.08631	0.157222	-0.238622	lidar	0.516283	48.1541	17.2835	48.0823	17.6063	2.6326	1.23832
1477010462349642	48.1245	17.2832	2.96012	0.152463	-0.248343	radar	0.182439	47.9331	17.5349	48.0823	17.6063	2.6326	1.23832
1477010463349642	50.6219	19.0542	3.255	0.870064	0.372414	lidar	1.41447	50.6228	19.0721	50.7276	18.8172	2.61569	1.16454
