time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443000000	0.312243	0.58034	0	0	0	lidar	7.63919e-313	0.312243	0.58034	0.6	0.6	5.19994	0
1477010443050000	0.606797	0.439502	2.00447	-0.193558	-0.14582	radar	228.502	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686
1477010443100000	0.742349	0.466668	2.11879	-0.159056	-0.117648	lidar	9.03365	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996
1477010443150000	0.98661	0.434624	3.59196	-0.118454	-0.0266556	radar	48.2463	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781
1477010443200000	1.21956	0.453805	3.77094	-0.0879373	-0.00780454	lidar	10.915	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597
1477010443250000	1.52542	0.469736	4.55852	-0.0391459	0.0494385	radar	17.87	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323
1477010443300000	1.80856	0.492415	4.70927	-0.0175744	0.0579064	lidar	8.67138	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932
1477010443350000	2.07422	0.528988	4.88291	0.0254307	0.109801	radar	2.80393	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389
1477010443400000	2.3645	0.557804	4.99112	0.041024	0.112721	lidar	4.98442	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654
1477010443450000	2.6408	0.57788	5.12162	0.0520568	0.117636	radar	1.44556	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668
1477010443500000	2.91312	0.599504	5.15683	0.060886	0.118733	lidar	0.586309	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415
1477010443550000	3.19351	0.562659	5.21967	0.0268252	0.0642368	radar	3.85469	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818
1477010443600000	3.51829	0.530668	5.3497	-0.00370348	0.0134819	lidar	9.84487	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576
1477010443650000	3.80678	0.560587	5.42461	0.01436	0.0349788	radar	2.58111	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724
